"time","ticket","race","sex","speed","limit","state","modelyear","percentover"
2221,1,"B","M",84,65,"MA",98,29.23
450,1,"W","F",77,65,"MA",89,18.46
1125,1,"W","M",76,65,"CT",95,16.92
1300,1,"W","F",78,65,"DE",97,20
1315,1,"W","F",77,65,"DC",92,18.46
1615,1,"W","M",82,65,"PA",95,26.15
600,1,"W","M",80,65,"MA",92,23.08
1350,1,"W","F",76,65,"NY",91,16.92
34,1,"W","M",74,55,"NJ",95,34.55
1153,1,"B","F",86,65,"GA",96,32.31
1735,1,"B","M",85,65,"MD",84,30.77
2345,1,"W","F",78,65,"PA",92,20
1405,1,"W","M",77,65,"MD",93,18.46
1430,1,"W","F",54,35,"MD",97,54.29
1450,1,"W","M",76,65,"MD",93,16.92
1650,1,"B","M",81,65,"NJ",96,24.62
1650,1,"B","M",81,65,"MD",93,24.62
1620,1,"W","M",82,65,"MD",95,26.15
1710,1,"W","F",78,65,"MD",95,20
1720,1,"W","M",81,65,"PA",83,24.62
1820,1,"B","F",82,65,"PA",90,26.15
1830,1,"B","M",80,65,"MD",92,23.08
2000,1,"W","M",80,65,"NJ",91,23.08
2002,1,"B","M",84,65,"PA",96,29.23
2132,1,"B","M",92,65,"DE",95,41.54
627,1,"B","F",92,55,"PA",97,67.27
901,1,"W","M",76,65,"PA",89,16.92
946,1,"W","F",80,65,"MD",95,23.08
957,1,"W","F",78,65,"VA",96,20
1004,1,"W","F",79,65,"NY",91,21.54
1017,1,"W","F",76,65,"PA",91,16.92
1025,1,"B","M",80,65,"MD",92,23.08
1202,1,"W","M",92,65,"NY",93,41.54
1915,1,"W","M",78,65,"FL",89,20
244,1,"W","M",78,65,"NJ",95,20
1658,1,"B","M",78,65,"MA",94,20
2218,1,"W","M",79,55,"MD",93,43.64
752,1,"W","F",83,65,"MD",95,27.69
2040,1,"W","M",81,65,"NJ",95,24.62
130,1,"W","F",80,65,"NH",95,23.08
749,1,"B","F",82,65,"MD",87,26.15
1113,1,"W","F",78,65,"VA",91,20
1156,1,"W","M",88,65,"MA",92,35.38
1228,1,"W","M",84,65,"PA",90,29.23
1235,1,"B","F",85,65,"DE",93,30.77
1252,1,"W","M",77,65,"PA",97,18.46
1305,1,"B","M",75,65,"NY",96,15.38
1325,1,"W","F",84,65,"PA",96,29.23
646,1,"W","M",80,65,"MD",95,23.08
904,1,"W","F",80,65,"ME",93,23.08
912,1,"B","M",98,65,"NY",92,50.77
921,1,"B","M",83,65,"PA",97,27.69
929,1,"W","M",83,65,"FL",96,27.69
1320,1,"W","M",79,65,"PA",88,21.54
1334,1,"W","M",81,65,"VA",96,24.62
808,1,"W","M",76,65,"PA",95,16.92
839,1,"W","M",76,65,"PA",97,16.92
851,1,"B","M",85,65,"VA",92,30.77
918,1,"B","F",84,65,"NC",87,29.23
1855,1,"W","M",85,65,"PA",92,30.77
1610,1,"W","M",80,55,"CA",87,45.45
1730,1,"W","M",77,65,"NC",96,18.46
1745,1,"W","M",79,65,"AL",94,21.54
1535,1,"W","M",60,45,"PA",88,33.33
1655,1,"W","M",76,65,"PA",96,16.92
1725,1,"B","M",82,65,"NC",93,26.15
1900,1,"W","F",55,45,"MD",94,22.22
1907,1,"W","M",55,45,"MD",88,22.22
1915,1,"W","F",63,45,"FL",96,40
1925,1,"W","M",55,45,"MD",97,22.22
1930,1,"W","M",57,45,"MD",87,26.67
1940,1,"W","M",58,45,"PA",84,28.89
2010,1,"W","F",56,45,"MD",95,24.44
2020,1,"W","M",57,45,"MD",90,26.67
1550,1,"W","M",84,65,"NC",91,29.23
1800,1,"W","M",84,65,"PA",90,29.23
1820,1,"W","M",79,65,"PA",87,21.54
1845,1,"W","M",83,65,"NY",97,27.69
1945,1,"B","M",84,65,"PA",97,29.23
2000,1,"W","M",84,65,"PA",93,29.23
2055,1,"W","M",78,65,"MD",95,20
833,1,"W","F",77,65,"MD",84,18.46
856,1,"W","M",80,65,"MD",93,23.08
835,1,"W","M",78,65,"NJ",96,20
1335,1,"W","F",76,65,"MD",93,16.92
1349,1,"W","F",78,65,"VA",97,20
1401,1,"W","F",76,65,"PA",92,16.92
1333,1,"W","F",79,65,"DE",86,21.54
708,1,"W","M",77,65,"NY",92,18.46
9,1,"B","M",80,65,"DE",86,23.08
345,1,"B","M",85,65,"FL",97,30.77
145,1,"W","M",88,65,"MD",76,35.38
2335,1,"W","M",79,65,"NY",90,21.54
2355,1,"B","M",83,65,"NY",97,27.69
921,1,"W","M",77,65,"CT",94,18.46
