"state_name","state_abbr","county_name","county_fips","votes_gop_2020","votes_dem_2020","total_votes_2020","per_gop_2020","per_dem_2020","per_point_diff_2020","votes_dem_2016","votes_gop_2016","total_votes_2016","per_dem_2016","per_gop_2016","per_point_diff_2016","total_votes_2012","votes_dem_2012","votes_gop_2012","per_dem_2012","per_gop_2012","per_point_diff_2012"
"Georgia","GA","Ware County",13299,9903,4169,14189,0.697935020085982,0.293819155683981,0.404115864402002,3436,8508,12150,0.282798353909465,0.700246913580247,-0.417448559670782,11923,3892,7933,0.326427912438145,0.665352679694708,-0.338924767256563
"Georgia","GA","Warren County",13301,1166,1468,2650,0.44,0.553962264150943,-0.113962264150943,1313,991,2332,0.56303602058319,0.424957118353345,0.138078902229846,2522,1525,990,0.604678826328311,0.392545598731166,0.212133227597145
"Georgia","GA","Washington County",13303,4668,4743,9477,0.492560937005381,0.500474833808167,-0.0079138968027857,4187,4138,8422,0.497150320588934,0.491332225124673,0.00581809546426032,8796,4705,4033,0.534902228285584,0.458503865393361,0.0763983628922237
"Georgia","GA","Wayne County",13305,9987,2688,12779,0.781516550590813,0.210345097425464,0.571171453165349,2039,8147,10376,0.196511179645335,0.78517733230532,-0.588666152659985,10258,2594,7553,0.252875804250341,0.736303372977189,-0.483427568726847
"Georgia","GA","Webster County",13307,748,640,1391,0.537742631200575,0.460100647016535,0.0776419841840402,471,630,1114,0.422800718132855,0.565529622980251,-0.142728904847397,1175,573,598,0.487659574468085,0.508936170212766,-0.0212765957446808
"Georgia","GA","Wheeler County",13309,1583,689,2285,0.692778993435449,0.301531728665208,0.391247264770241,646,1421,2102,0.30732635585157,0.676022835394862,-0.368696479543292,2160,772,1366,0.357407407407407,0.632407407407407,-0.275
"Georgia","GA","White County",13311,12222,2411,14816,0.824919006479482,0.162729481641469,0.662189524838013,1672,9751,11771,0.142044006456546,0.828391810381446,-0.6863478039249,10471,1670,8647,0.159488110018145,0.825804603189762,-0.666316493171617
"Georgia","GA","Whitfield County",13313,25644,10680,36766,0.697492248272861,0.290485774900723,0.407006473372137,7925,21514,30362,0.261017060799684,0.708583097292668,-0.447566036492985,26828,7193,19290,0.268115401818995,0.719024899358879,-0.450909497539884
"Georgia","GA","Wilcox County",13315,2402,861,3279,0.732540408661177,0.262580054894785,0.469960353766392,852,2096,2973,0.286579212916246,0.705011772620249,-0.418432559704003,3124,1059,2050,0.33898847631242,0.656209987195903,-0.317221510883483
"Georgia","GA","Wilkes County",13317,2823,2160,5030,0.561232604373757,0.429423459244533,0.131809145129225,1844,2569,4470,0.412527964205817,0.574720357941834,-0.162192393736018,4746,2080,2628,0.438263801095659,0.553729456384324,-0.115465655288664
