"airport","total_time","distance","month","day_of_week","scheduled_departure","scheduled_arrival","arrival_time","departure_delay","late_night_departure","thursday","delayed"
"ORD",119,589,4,6,1250,1535,1549,21,FALSE,FALSE,FALSE
"ORD",159,802,4,6,602,835,841,10,FALSE,FALSE,FALSE
"MSP",74,284,5,6,1540,1654,1654,-1,FALSE,FALSE,FALSE
"LAX",316,2611,9,6,910,1746,1726,-6,FALSE,FALSE,FALSE
"LAX",255,1744,11,3,955,1603,1610,-3,FALSE,FALSE,FALSE
"LAX",204,1592,6,7,1530,2105,2054,7,FALSE,FALSE,FALSE
"LAX",124,834,8,1,1945,2202,2149,-8,FALSE,FALSE,FALSE
"MSP",125,680,11,5,1000,1111,1105,-1,FALSE,FALSE,FALSE
"ORD",85,177,12,1,1320,1517,1545,25,FALSE,FALSE,FALSE
"ORD",213,1250,6,3,1335,1603,1608,9,FALSE,FALSE,FALSE
"ORD",153,693,9,4,1911,2119,2144,1,FALSE,TRUE,FALSE
"MSP",86,448,9,4,1140,1305,1306,-5,FALSE,TRUE,FALSE
"LAX",286,2239,8,7,2215,611,601,-2,FALSE,FALSE,FALSE
"LAX",72,337,1,4,710,825,822,-1,FALSE,TRUE,FALSE
"LAX",208,1535,11,7,840,1415,1408,-2,FALSE,FALSE,FALSE
"ORD",144,740,3,6,1832,2150,2156,1,FALSE,FALSE,FALSE
"LAX",216,1670,1,4,1325,1904,1901,-9,FALSE,TRUE,FALSE
"LAX",166,1242,3,3,1950,41,36,-4,FALSE,FALSE,FALSE
"LAX",140,834,11,4,1605,1829,1825,0,FALSE,TRUE,FALSE
"ORD",197,1041,3,5,1900,2200,2217,37,FALSE,FALSE,TRUE
"ORD",140,867,7,4,656,1017,1016,1,FALSE,TRUE,FALSE
"ORD",89,296,7,5,2005,2226,2234,6,FALSE,FALSE,FALSE
"LAX",78,373,11,1,1810,1940,1928,-6,FALSE,FALSE,FALSE
"ORD",77,235,4,6,1635,1900,1852,0,FALSE,FALSE,FALSE
"ORD",61,296,4,3,1745,2006,1946,-2,FALSE,FALSE,FALSE
"LAX",280,2475,11,4,1200,2016,1940,-1,FALSE,TRUE,FALSE
"LAX",309,2454,9,4,1615,30,24,7,FALSE,TRUE,FALSE
"ORD",46,135,3,4,2125,2214,2211,-1,FALSE,TRUE,FALSE
"MSP",242,1589,3,7,1745,2000,1947,7,FALSE,FALSE,FALSE
"LAX",233,1744,7,4,2331,526,524,10,FALSE,TRUE,FALSE
"LAX",76,373,9,2,1340,1455,1456,-3,FALSE,FALSE,FALSE
"LAX",88,451,8,6,1055,1215,1223,0,FALSE,FALSE,FALSE
"LAX",156,590,1,6,1625,1905,2001,47,FALSE,FALSE,TRUE
"ORD",229,1440,2,5,1724,2015,2013,23,FALSE,FALSE,FALSE
"MSP",48,228,7,5,1335,1429,1423,-5,FALSE,FALSE,FALSE
"MSP",87,528,1,3,629,920,856,-5,FALSE,FALSE,FALSE
"MSP",42,114,2,6,2008,2111,2050,-3,FALSE,FALSE,FALSE
"MSP",119,596,2,2,750,1054,1049,-5,FALSE,FALSE,FALSE
"MSP",196,1299,2,4,1509,1633,1625,-6,FALSE,TRUE,FALSE
"ORD",37,108,3,1,1150,1238,1227,-2,FALSE,FALSE,FALSE
"ORD",167,1012,12,4,906,1245,1253,20,FALSE,TRUE,FALSE
"LAX",249,1979,5,5,2315,645,624,0,FALSE,FALSE,FALSE
"MSP",208,1276,2,7,1115,1340,1343,6,FALSE,FALSE,FALSE
"ORD",53,265,1,3,1120,1330,1313,-2,FALSE,FALSE,FALSE
"LAX",338,2504,8,4,1715,1955,1953,-5,FALSE,TRUE,FALSE
