district,wholename,namefirst,namelast,party,votes1st,incumb,incumby,wonseat,m,electorate,senator,councillor,incministerstate,incminister,votes1997,valid1997,ptyvote1997,candptytotvote1997,voteshare1997,redistricted,gender,bday,count2,count3,count4,count5,count6,count7,count8,count9,count10,count11,count12,count13,count14,count15,count16,constituency,spend_party,spend_total,spend_public,spend_minor,assigned,spendlimit,assignedpct,minister,cexplimit,advert,publicity,election,otherexp,officestat,transport,market,campaign,totalexp,spend_cand,cexpincurred,marginalcand,ffbounce_ff,ffbounce_pd,ffbounce_lb,ffbounce_green,ffbounce_sf,ffbounce_oth,fgb_ff,fgb_pd,fgb_lb,fgb_green,fgb_sf,fgb_oth,labb_pd,labb_green,labb_lab,labb_sf,labb_oth,othrb_ff,othb_pd,othb_lab,othb_sf,othb_oth,ffbounce_fg,fgb_fg,labb_ff,labb_fg,othb_fg,othb_green,_merge,ffm,fgm,labm,othm,greenm,sfm,marginal
Dublin South East,Frances Fitzgerald,Frances,Fitzgerald,fg,3337,Yes,0,0,4,58662,0,0,0,0,5501,36671,0.273840368,10042,0.150009543,minor,f,NA,3358,4371,4443,4668,5255,0,0,0,0,0,0,0,0,0,0,DublinSE,525.9500122,16874.94922,3742,NA,NA,31743.44922,NA,0,16805.44922,0,0,4127,7476,4496,0,0,250,16349,16349,16349,2,2,0,1,1,0,0,1,0,1,1,0,0,1,1,1,0,0,1,1,1,0,0,0,1,1,0,0,1,3,1,1,0,0,0,0,1
Dublin North Central,Frances McCole,Frances,McCole,sf,2299,No,0,0,4,65199,0,0,0,0,NA,NA,NA,NA,NA,major,f,NA,2445,2459,0,0,0,0,0,0,0,0,0,0,0,0,0,DublinNC,0,6173.009766,NA,NA,NA,31743.44922,NA,0,25743.44922,0,163.1199951,2117.419922,3738.050049,122.0400009,32.38000107,0,0,6173.009766,6173.009766,6173.009766,3,2,0,1,0,0,0,2,0,1,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,2,0,0,0,3,0,0,1,1,0,0,0
Mayo,Frank Chambers,Frank,Chambers,ff,5726,No,0,0,5,92656,0,0,0,0,NA,NA,NA,NA,NA,no,m,NA,5792,6045,6266,6307,6315,6319,0,0,0,0,0,0,0,0,0,Mayo,2840.110107,22663.24023,3789.399902,NA,19046.07031,38092.14063,50,0,19046.07031,7291.149902,3810.429932,5013.640137,0,3707.909912,0,0,0,19823.13086,19823.13086,19823.13086,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,3,2,3,3,0,3,0,0,0,0,0,0,0
Galway West,Frank Fahey,Frank,Fahey,ff,7226,Yes,0,1,5,80109,0,0,0,1,9321,48212,0.459449917,22151,0.193333611,minor,m,6/1/51,7902,7903,7904,7993,8120,8318,8318,8318,8245,8245,8245,8245,8245,8245,8245,GalwayW,4603.25,37788.25,16156.7998,NA,19046,38092.14063,49.99981689,1,19046.14063,2854,855,7210,4081,3532,1020,0,13633,33185,33185,33185,1,3,0,1,0,0,0,3,0,1,0,0,0,0,0,1,0,0,3,0,1,0,0,1,1,3,1,1,0,3,0,0,0,0,0,0,0
Louth,Frank Godfrey,Frank,Godfrey,ind,473,No,0,0,4,80924,0,0,0,0,1037,45008,0.050413258,2269,0.023040349,no,m,NA,502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Louth,0,4300,NA,NA,NA,31743.44922,NA,0,31743.44922,1300,0,1000,2000,0,0,0,0,4300,4300,4300,3,2,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,2,2,2,1,2,0,3,0,1,1,0,0,0,0
Louth,Frank Maher,Frank,Maher,ff,4653,No,0,0,4,80924,0,0,0,0,NA,NA,NA,NA,NA,no,m,NA,4668,4807,4811,4946,5018,5643,0,0,0,0,0,0,0,0,0,Louth,8762,16086.55957,NA,NA,15871.5,31743.44922,49.99929428,0,15871.9502,2627.310059,44.27999878,2354.659912,1693.98999,471,133.3200073,0,0,7324.560059,7324.560059,7324.560059,3,2,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,2,2,2,1,2,0,3,0,1,1,0,0,0,0
Dublin North,G V Wright,G,Wright,ff,5658,Yes,0,1,4,71679,0,0,0,0,7007,41158,0.386510521,15908,0.170246363,minor,m,8/1/47,5707,5739,5777,5868,6139,6249,8617,0,0,0,0,0,0,0,0,DublinN,5169.950195,25000.94922,5734,293,15875,31743.44922,50.01031876,0,15868.4502,1571,0,5729,3502,7913,1116,0,0,19831,19831,19831,2,1,0,1,1,0,0,1,0,1,1,0,0,0,1,1,0,0,1,0,1,0,0,1,1,1,1,1,1,3,0,0,0,0,0,0,0
Dublin North East,Gavin Doyle,Gavin,Doyle,fg,2155,No,0,0,3,51793,0,0,0,0,NA,NA,NA,NA,NA,major,m,NA,2373,2575,4085,4648,4937,0,0,0,0,0,0,0,0,0,0,DublinNE,2340.949951,15335,NA,NA,NA,25394.75977,NA,0,13604.75977,7692.25,10,4187.319824,1054.47998,50,0,0,0,12994.0498,12994.0498,12994.0498,3,2,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,2,0,1,0,3,1,1,1,0,0,0,1
Dublin South Central,Gay Mitchell,Gay,Mitchell,fg,5444,Yes,0,1,5,85326,0,0,0,0,8910,40579,0.249513298,10125,0.219571695,major,m,12/1/51,5456,5469,5507,5612,5708,5941,7280,7709,7709,7709,0,0,0,0,0,DublinSC,2116.969971,20116.43945,2922.919922,NA,NA,38092.14063,NA,0,17999.4707,452,0,6319.399902,7342.899902,3885.169922,0,0,0,17999.4707,17999.4707,17999.4707,1,2,0,2,0,0,0,2,0,1,0,0,0,0,0,2,0,0,2,0,1,1,0,1,2,2,1,1,0,3,0,1,1,0,0,1,1
Laois Offaly,Ger Killally,Ger,Killally,ff,4719,No,0,0,5,94096,0,0,0,0,NA,NA,NA,NA,NA,no,m,NA,5387,5437,5530,6062,0,0,0,0,0,0,0,0,0,0,0,LaoisO,3562.620117,19613.78906,NA,NA,19046.07031,38092.14063,50,0,19046.07031,2298.860107,148.3999939,6393.910156,3880.469971,2326.620117,0,1002.909973,0,16051.16992,16051.16992,16051.16992,3,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,2,2,3,2,2,0,3,1,0,0,0,0,0,1
Kildare South,Gerald Fitzgibbon,Gerald,Fitzgibbon,ind,546,No,0,0,3,56386,0,0,0,0,NA,NA,NA,NA,NA,minor,m,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KildareS,0,4841.160156,NA,NA,NA,25394.75977,NA,0,25394.75977,1663,159,1959.359985,1004.299988,55.5,0,0,0,4841.160156,4841.160156,4841.160156,3,2,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,1,1,1,0,3,1,0,1,0,0,0,0
Cork North West,Gerard Murphy,Gerard,Murphy,fg,8548,No,0,1,3,53132,0,0,0,0,NA,NA,NA,NA,NA,minor,m,3/1/51,8729,9417,9507,0,0,0,0,0,0,0,0,0,0,0,0,CorkNW,4752.950195,18442.9707,NA,NA,NA,25394.75977,NA,0,13900.75977,1327.650024,0,6656.169922,4602.859863,1103.339966,0,0,0,13690.01953,13690.01953,13690.01953,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,2,1,1,0,3,0,0,0,0,0,0,0
Dublin North Central,Gerry Breen,Gerry,Breen,fg,1650,No,0,0,4,65199,0,0,0,0,NA,NA,NA,NA,NA,major,m,NA,1661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DublinNC,0,8106.129883,318.5,NA,NA,31743.44922,NA,0,11000,1233.469971,0,2140.530029,3491.399902,1240.72998,0,0,0,8106.129883,8106.129883,8106.129883,3,2,0,1,0,0,0,2,0,1,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,2,0,0,0,3,0,0,1,1,0,0,0
Cork North Central,Gerry Duffy,Gerry,Duffy,csp,215,No,0,0,5,77126,0,0,0,0,NA,NA,NA,NA,NA,minor,m,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CorkNC,0,49,NA,25,NA,38092.14063,NA,0,28092.14063,0,47,0,0,2,0,0,0,49,49,49,3,3,0,1,0,0,0,3,0,0,0,0,0,0,0,1,0,0,3,0,1,0,0,1,2,3,1,1,0,3,0,1,1,0,0,0,0
Cork North West,Gerry Duffy,Gerry,Duffy,csp,383,No,0,0,3,53132,0,0,0,0,NA,NA,NA,NA,NA,minor,m,NA,389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CorkNW,0,46.5,NA,NA,NA,25394.75977,NA,0,15394.75977,0,44,0,0,2.5,0,0,0,46.5,46.5,46.5,3,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,2,1,1,0,3,0,0,0,0,0,0,0
Cork North Central,Gerry Kelly,Gerry,Kelly,fg,3744,No,0,0,5,77126,0,0,0,0,NA,NA,NA,NA,NA,minor,m,NA,3767,3818,3911,4404,4568,4937,0,0,0,0,0,0,0,0,0,CorkNC,5359.089844,25687.11914,NA,NA,NA,38092.14063,NA,0,20951.14063,3410.73999,0,4355.580078,8959.019531,2350.040039,1228.550049,24.10000038,0,20328.0293,20328.0293,20328.0293,2,3,0,1,0,0,0,3,0,0,0,0,0,0,0,1,0,0,3,0,1,0,0,1,2,3,1,1,0,3,0,1,1,0,0,0,1
Cavan Monaghan,Gerry McCaughey,Gerry,McCaughey,pd,1131,No,0,0,5,87087,0,0,0,0,NA,NA,NA,NA,NA,no,m,NA,1144,1154,1219,1261,0,0,0,0,0,0,0,0,0,0,0,CavanM,1441,30573.11914,NA,142.5,NA,38092.14063,NA,0,30092.14063,12976,0,7530,8626.120117,0,0,0,0,29132.11914,29132.11914,29132.11914,3,2,0,0,0,1,0,2,0,0,0,1,0,0,0,0,1,0,2,0,0,1,0,2,2,2,2,2,0,3,0,0,0,0,0,0,0
Sligo Leitrim,Gerry Reynolds,Gerry,Reynolds,fg,6162,Yes,0,0,4,68396,0,0,0,0,6743,45166,0.366315365,16545,0.149293721,no,m,NA,6236,6438,6939,7151,7303,7357,0,0,0,0,0,0,0,0,0,SligoL,3037,17328,2320,NA,NA,31743.44922,NA,0,16805.44922,4540,0,6030,1341,2380,0,0,0,14291,14291,14291,2,2,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,2,0,0,0,1,1,2,2,1,1,0,3,1,1,0,0,0,0,1
Longford Roscommon,Greg Kelly,Greg,Kelly,ff,6430,No,0,0,4,69172,0,0,0,0,NA,NA,NA,NA,NA,no,m,NA,6471,6490,6670,6897,7014,7740,8459,8687,8862,0,0,0,0,0,0,LongfordR,3324.02002,15763.41992,14.76000023,NA,15871.73047,31743.44922,50.00001907,0,15871.71973,2481.22998,623.5,6698.950195,2026.75,608.9699707,0,0,0,12439.40039,12439.40039,12439.40039,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,2,2,2,2,1,0,3,0,1,0,0,0,0,0
Donegal South West,Gwen Breslin,Gwen,Breslin,ind,951,No,0,0,3,53672,0,0,0,0,NA,NA,NA,NA,NA,no,f,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DonegalSW,0,9032.780273,1000,NA,NA,25394.75977,NA,0,25394.75977,3239.879883,220,3572.899902,0,2000,0,0,0,9032.780273,9032.780273,9032.780273,3,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,2,1,1,0,3,0,0,0,1,0,0,0
Dun Laoghaire,Heather Williams,Heather,Williams,ind,319,No,0,0,5,90219,0,0,0,0,NA,NA,NA,NA,NA,minor,f,NA,323,338,0,0,0,0,0,0,0,0,0,0,0,0,0,DunL,0,1803.439941,NA,62.84000015,NA,38092.14063,NA,0,38092.14063,0,0,0,1719.869995,83.56999969,0,0,0,1803.439941,1803.439941,1803.439941,3,2,0,2,0,0,0,2,0,2,0,0,0,0,0,2,0,0,2,0,1,0,0,1,1,2,1,1,1,3,0,0,1,0,1,0,0
Dun Laoghaire,Helen Keogh,Helen,Keogh,fg,3229,No,0,0,5,90219,1,1,0,0,4636,54253,0.085451499,4636,0.085451499,minor,f,NA,3230,3233,3252,3272,3288,3342,3869,3916,0,0,0,0,0,0,0,DunL,716.4500122,12765.19043,2092.189941,NA,NA,38092.14063,NA,0,15872.13965,2048.919922,0,5149.859863,2413.169922,2436.790039,0,0,0,12048.74023,12048.74023,12048.74023,2,2,0,2,0,0,0,2,0,2,0,0,0,0,0,2,0,0,2,0,1,0,0,1,1,2,1,1,1,3,0,0,1,0,1,0,0
Wexford,Hugh Byrne,Hugh,Byrne,ff,7556,Yes,0,0,5,94969,0,0,1,0,NA,NA,NA,NA,NA,no,m,NA,7574,7620,7755,8236,8702,9013,9072,0,0,0,0,0,0,0,0,Wexford,6093.029785,25302.41992,3297,NA,19046,38092.14063,49.99981689,1,19046.14063,3948.340088,488.5299988,4753.439941,3154.679932,2357,3155.719971,0,1351.680054,19209.39063,19209.39063,19209.39063,2,3,0,1,0,0,0,2,0,1,0,0,0,0,0,1,0,0,2,0,1,0,0,1,2,2,2,2,0,3,1,1,0,0,0,0,1
Longford Roscommon,Hughie Baxter,Hughie,Baxter,lab,638,No,0,0,4,69172,0,0,0,0,NA,NA,NA,NA,NA,no,m,NA,640,724,0,0,0,0,0,0,0,0,0,0,0,0,0,LongfordR,3475.280029,7243.240234,123,NA,NA,31743.44922,NA,0,19046.07031,527.5,168.3999939,0,1593.900024,1465.160034,13,0,0,3767.959961,3767.959961,3767.959961,3,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,2,2,2,2,1,0,3,0,1,0,0,0,0,0
Dublin North Central,Ivor Callely,Ivor,Callely,ff,6896,Yes,0,1,4,65199,0,0,0,0,11190,43165,0.464357704,20044,0.259237796,major,m,5/1/58,6937,7035,7213,7438,7833,0,0,0,0,0,0,0,0,0,0,DublinNC,4049,18353.58008,4612,NA,15871.5,31743.44922,49.99929428,0,15871.9502,3679.25,0,2000,4950,3675.330078,0,0,0,14304.58008,14304.58008,14304.58008,1,2,0,1,0,0,0,2,0,1,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,2,0,0,0,3,0,0,1,1,0,0,0
Kildare South,J J Power,J,Power,gp,1208,No,0,0,3,56386,0,0,0,0,NA,NA,NA,NA,NA,minor,m,NA,1335,1351,0,0,0,0,0,0,0,0,0,0,0,0,0,KildareS,0,272.25,NA,NA,NA,25394.75977,NA,0,25394.75977,272.25,0,0,0,0,0,0,0,272.25,272.25,272.25,3,2,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,1,1,1,0,3,1,0,1,0,0,0,0
Kildare South,Jack Wall,Jack,Wall,lab,6043,Yes,0,1,3,56386,0,0,0,0,5834,28808,0.202513188,5834,0.202513188,minor,m,7/1/45,6148,6264,7443,7849,7977,0,0,0,0,0,0,0,0,0,0,KildareS,4117.439941,16461.59961,2630.280029,282.9500122,NA,25394.75977,NA,0,15236.86035,2037.72998,0,0,6169.279785,2474.870117,0,0,1662.280029,12344.16016,12344.16016,12344.16016,2,2,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,1,1,1,0,3,1,0,1,0,0,0,1
Kerry South,Jackie Healy Rae,Jackie,Healy-Rae,ind,6229,Yes,0,1,3,50850,0,0,0,0,7220,35496,0.403904676,14337,0.203403205,no,m,3/1/31,6455,6819,6893,7147,8409,8584,0,0,0,0,0,0,0,0,0,KerryS,0,14216.45996,1725.449951,NA,NA,25394.75977,NA,0,25394.75977,3382.179932,181.5,2026.800049,4023.919922,3588.26001,1013.799988,0,0,14216.45996,14216.45996,14216.45996,2,1,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,1,1,0,1,0,1,1,0,1,0,0,0,3,0,1,1,0,0,0,0
Donegal North East,Jackie McNair,Jackie,McNair,lab,1021,No,0,0,3,57048,0,0,0,0,NA,NA,NA,NA,NA,no,f,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DonegalNE,3413.840088,11213.70996,NA,NA,NA,25394.75977,NA,0,11394.75977,3929.129883,333,500,2112.810059,879.9299927,45,0,0,7799.870117,7799.870117,7799.870117,3,2,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,2,0,0,0,1,0,0,2,0,0,0,3,0,0,0,1,0,0,0
Clare,James Breen,James,Breen,ind,9721,No,0,1,4,78643,0,0,0,0,NA,NA,NA,NA,NA,no,m,5/1/45,10054,10054,10054,10054,0,0,0,0,0,0,0,0,0,0,0,Clare,0,11974.15039,NA,NA,NA,31743.44922,NA,0,31743.44922,2610.399902,0,5832.209961,1213.02002,53.24000168,2265.280029,0,0,11974.15039,11974.15039,11974.15039,3,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,2,3,1,2,0,3,1,1,0,0,0,0,0
Kerry North,James Kennedy,James,Kennedy,ind,233,No,0,0,3,54670,0,0,0,0,NA,NA,NA,NA,NA,no,m,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KerryN,0,2135,NA,NA,NA,25394.75977,NA,0,25394.75977,0,65,300,1570,100,100,0,0,2135,2135,2135,3,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,1,1,1,0,3,1,0,0,0,0,1,0
Donegal North East,James McDaid,James,McDaid,ff,9614,Yes,0,1,3,57048,0,0,0,1,6538,35529,0.418109149,14855,0.184018686,no,m,10/1/49,9614,9087,9087,9087,9087,0,0,0,0,0,0,0,0,0,0,DonegalNE,3045.780029,20271.33008,10401.09961,NA,12697,25394.75977,49.99850464,1,12697.75977,1775,255,953.8699951,2426.580078,5259.459961,0,0,6555.640137,17225.55078,17225.55078,17225.55078,1,2,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,2,0,0,0,1,0,0,2,0,0,0,3,0,0,0,1,0,0,0
Donegal South West,James White,James,White,fg,4680,No,0,0,3,53672,0,0,0,0,NA,NA,NA,NA,NA,no,m,NA,4720,4740,4822,5161,5385,5402,5930,0,0,0,0,0,0,0,0,DonegalSW,1912.5,17099.28906,NA,NA,NA,25394.75977,NA,0,17104.75977,1566.25,300,7520.839844,5154.370117,416.980011,228.3500061,0,0,15186.79004,15186.79004,15186.79004,2,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,2,1,1,0,3,0,0,0,1,0,0,0
Limerick East,Jan O'Sullivan,Jan,O'Sullivan,lab,4629,No,1,1,5,79329,0,0,0,0,1866,49701,0.091909617,4568,0.037544515,minor,f,12/1/50,5048,5193,5255,5356,5715,5927,6323,6958,7256,7467,0,0,0,0,0,LimerickE,5201.040039,21869.68945,3337.090088,NA,NA,38092.14063,NA,0,21355.14063,6217.029785,112.5,532.4000244,6469.629883,3337.090088,0,0,0,16668.65039,16668.65039,16668.65039,2,2,0,1,0,0,0,2,0,1,0,0,0,0,0,1,0,0,2,0,1,0,0,2,2,2,2,2,0,3,0,0,0,0,0,0,0
Meath,Jane Colwell,Jane,Colwell,ind,263,No,0,0,5,107894,0,0,0,0,NA,NA,NA,NA,NA,no,f,NA,265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Meath,0,0,NA,NA,NA,38092.14063,NA,0,38092.14063,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,1,3,0,0,0,1,1,2,3,1,1,0,3,0,1,0,1,0,0,0
Mayo,Jerry Cowley,Jerry,Cowley,ind,8709,No,0,1,5,92656,0,0,0,0,NA,NA,NA,NA,NA,no,m,11/1/52,9213,9808,10573,11128,10581,10581,10581,10581,10581,0,0,0,0,0,0,Mayo,0,27745.32031,NA,NA,NA,38092.14063,NA,0,38092.14063,5155.649902,50,15313.00977,5844.919922,1081.73999,0,0,300,27745.32031,27745.32031,27745.32031,3,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,3,2,3,3,0,3,0,0,0,0,0,0,0
Dublin North,Jim Glennon,Jim,Glennon,ff,5892,No,0,1,4,71679,0,0,0,0,NA,NA,NA,NA,NA,minor,m,7/1/53,5945,6028,6152,6294,6511,6596,8640,0,0,0,0,0,0,0,0,DublinN,5169.950195,20457.94922,1151,NA,15875,31743.44922,50.01031876,0,15868.4502,937,0,7014,1832,5505,0,0,0,15288,15288,15288,2,1,0,1,1,0,0,1,0,1,1,0,0,0,1,1,0,0,1,0,1,0,0,1,1,1,1,1,1,3,0,0,0,0,0,0,0
Mayo,Jim Higgins,Jim,Higgins,fg,5858,Yes,0,0,5,92656,0,0,0,0,6945,61858,0.487535983,30158,0.112273268,no,m,NA,5971,6035,6155,6833,6998,7100,7220,0,0,0,0,0,0,0,0,Mayo,0,15516.20996,5762.47998,755.0700073,NA,38092.14063,NA,0,11642.13965,1687.140015,19.69000053,2823.25,3919.199951,5223.580078,0,0,1843.349976,15516.20996,15516.20996,15516.20996,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,3,2,3,3,0,3,0,0,0,0,0,0,0
Dublin Central,Jim Mitchell,Jim,Mitchell,fg,3768,Yes,0,0,4,61194,0,0,0,0,5185,35741,0.145071492,5185,0.145071492,minor,m,NA,3976,4063,4268,0,0,0,0,0,0,0,0,0,0,0,0,DublinC,179.0800018,27925.90039,4407.990234,NA,NA,31743.44922,NA,0,28009.44922,0,307.1300049,7201.640137,13863,6375.049805,0,0,0,27746.82031,27746.82031,27746.82031,2,2,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,1,1,0,0,1,1,1,1,1,1,1,0,3,1,0,1,1,0,1,0
Cork South West,Jim O'Keeffe,Jim,O'Keeffe,fg,6358,Yes,0,1,3,53672,0,0,0,0,7454,34995,0.441834539,15462,0.213001862,no,m,3/1/41,6476,6622,6835,7724,8496,8591,0,0,0,0,0,0,0,0,0,CorkSW,0,12263.41992,2941.590088,NA,NA,25394.75977,NA,0,13604.59961,2336.090088,0,4453.47998,2532.26001,2941.590088,0,0,0,12263.41992,12263.41992,12263.41992,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,2,1,1,2,0,3,0,1,1,0,0,0,1
Carlow Kilkenny,Jim Townsend,Jim,Townsend,lab,4272,No,0,0,5,95060,0,0,0,0,2995,56449,0.151871607,8573,0.053056743,no,m,NA,4330,4415,4568,6625,7646,7653,10615,0,0,0,0,0,0,0,0,CarlowK,3603.840088,10658.20996,NA,NA,NA,38092.14063,NA,0,22855.2793,2268.929932,0,500,2338.340088,947.0999756,0,0,1000,7054.370117,7054.370117,7054.370117,2,3,0,1,0,0,0,2,0,1,0,0,0,0,0,2,0,0,2,0,1,0,0,1,2,2,1,1,1,3,1,1,1,0,1,0,1
Kerry North,Jimmy Deenihan,Jimmy,Deenihan,fg,8652,Yes,0,1,3,54670,0,0,0,0,8689,35779,0.242851958,8689,0.242851958,no,m,9/1/52,9538,9842,0,0,0,0,0,0,0,0,0,0,0,0,0,KerryN,0,20812.66016,253.7899933,NA,NA,25394.75977,NA,0,21766.36914,1972.949951,0,9581.950195,2460.429932,6332.930176,464.3999939,0,0,20812.66016,20812.66016,20812.66016,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,1,1,1,0,3,1,0,0,0,0,1,0
Sligo Leitrim,Jimmy Devins,Jimmy,Devins,ff,6307,No,0,1,4,68396,0,0,0,0,NA,NA,NA,NA,NA,no,m,9/1/48,6427,6824,7591,7894,10621,9795,0,0,0,0,0,0,0,0,0,SligoL,5464.279785,25199.83008,NA,NA,11743.48047,31743.44922,36.99497223,0,20000.44922,6019.200195,345,5423.629883,3688.060059,2988.659912,71,0,1200,19735.55078,19735.55078,19735.55078,2,2,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,2,0,0,0,1,1,2,2,1,1,0,3,1,1,0,0,0,0,1
Waterford,Jimmy Kelly,Jimmy,Kelly,swp,300,No,0,0,4,73511,0,0,0,0,702,44797,0.015670693,702,0.015670693,no,m,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Waterford,3025.100098,3225.100098,NA,NA,NA,31743.44922,NA,0,28243.44922,0,80,120,0,0,0,0,0,200,200,200,3,2,0,1,0,0,0,2,0,1,0,0,0,0,0,1,0,0,2,0,1,0,0,1,1,2,1,1,0,3,0,0,0,0,0,0,0
Wicklow,Jimmy O'Shaughnessy,Jimmy,O'Shaughnessy,lab,2029,No,0,0,5,87909,0,0,0,0,NA,NA,NA,NA,NA,no,m,NA,2035,2036,2036,2132,2152,2192,0,0,0,0,0,0,0,0,0,Wicklow,4468.240234,13713.08984,NA,NA,NA,38092.14063,NA,0,22855.2793,3387.97998,0,3199.5,2657.370117,0,0,0,0,9244.849609,9244.849609,9244.849609,3,2,0,1,0,0,1,2,0,1,0,0,1,0,0,2,0,1,2,0,1,0,1,1,1,1,1,1,0,3,1,0,1,0,0,0,1
Dublin West,Joan Burton,Joan,Burton,lab,3810,No,0,1,3,52161,0,0,0,0,4853,40074,0.121100962,4853,0.121100962,major,f,5/1/50,4020,4079,4375,5125,6300,0,0,0,0,0,0,0,0,0,0,DublinW,3413.840088,16394.7793,266.5,NA,NA,25394.75977,NA,0,15236.86035,2022.98999,1263.310059,1981.810059,5886.700195,1826.130005,0,0,0,12980.94043,12980.94043,12980.94043,2,1,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,1,0,1,0,3,0,1,1,0,0,0,1
Dublin Mid West,Joanna Tuffy,Joanna,Tuffy,lab,2563,No,0,0,3,54793,0,1,0,0,NA,NA,NA,NA,NA,new constituency,f,NA,2566,2602,2744,2891,3199,3594,4495,4808,5371,0,0,0,0,0,0,DublinMidW,7055.089844,16371.25,2280,50,NA,25394.75977,NA,0,15236.75977,601.3499756,0,0,6769.180176,1413.920044,531.710022,0,0,9316.160156,9316.160156,9316.160156,2,1,1,1,0,0,1,1,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,1,0,0,1,3,0,1,1,1,1,0,1
Cavan Monaghan,Joe Brennan,Joe,Brennan,ind,1026,No,0,0,5,87087,0,0,0,0,NA,NA,NA,NA,NA,no,m,NA,1046,1047,1114,0,0,0,0,0,0,0,0,0,0,0,0,CavanM,0,17196.73047,NA,NA,NA,38092.14063,NA,0,38092.14063,11765.16992,280,4251.560059,900,0,0,0,0,17196.73047,17196.73047,17196.73047,3,2,0,0,0,1,0,2,0,0,0,1,0,0,0,0,1,0,2,0,0,1,0,2,2,2,2,2,0,3,0,0,0,0,0,0,0
Galway East,Joe Callanan,Joe,Callanan,ff,7898,No,0,1,4,72639,0,0,0,0,6221,42917,0.486007869,20858,0.144954219,minor,m,1/1/49,7963,8315,9414,10366,0,0,0,0,0,0,0,0,0,0,0,GalwayE,4600.52002,19268.51953,NA,NA,15871,31743.44922,49.99771881,0,15872.4502,3381,367,3875,2404,2153,0,0,2488,14668,14668,14668,2,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,2,2,2,2,0,3,1,1,0,0,0,0,1
