district,wholename,namefirst,namelast,party,votes1st,incumb,incumby,wonseat,m,electorate,senator,councillor,incministerstate,incminister,votes1997,valid1997,ptyvote1997,candptytotvote1997,voteshare1997,redistricted,gender,bday,count2,count3,count4,count5,count6,count7,count8,count9,count10,count11,count12,count13,count14,count15,count16,constituency,spend_party,spend_total,spend_public,spend_minor,assigned,spendlimit,assignedpct,minister,cexplimit,advert,publicity,election,otherexp,officestat,transport,market,campaign,totalexp,spend_cand,cexpincurred,marginalcand,ffbounce_ff,ffbounce_pd,ffbounce_lb,ffbounce_green,ffbounce_sf,ffbounce_oth,fgb_ff,fgb_pd,fgb_lb,fgb_green,fgb_sf,fgb_oth,labb_pd,labb_green,labb_lab,labb_sf,labb_oth,othrb_ff,othb_pd,othb_lab,othb_sf,othb_oth,ffbounce_fg,fgb_fg,labb_ff,labb_fg,othb_fg,othb_green,_merge,ffm,fgm,labm,othm,greenm,sfm,marginal
Carlow Kilkenny,Billy Nolan,Billy,Nolan,ind,335,No,0,0,5,95060,0,0,0,0,416,56449,0.007369484,416,0.007369484,no,m,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CarlowK,0,6544.22998,NA,NA,NA,38092.14063,NA,0,38092.14063,0,0,2367.5,1382.859985,444.8599854,359.0100098,0,1990,6544.22998,6544.22998,6544.22998,3,3,0,1,0,0,0,2,0,1,0,0,0,0,0,2,0,0,2,0,1,0,0,1,2,2,1,1,1,3,1,1,1,0,1,0,0
Wicklow,Billy Timmins,Billy,Timmins,fg,7372,Yes,0,1,5,87909,0,0,0,0,5171,52296,0.19710876,10308,0.098879457,no,m,10/1/59,7393,7403,7413,7481,8412,8491,9123,9123,0,0,0,0,0,0,0,Wicklow,0,19911.19922,3221.790039,NA,NA,38092.14063,NA,0,17141.46094,3078.100098,1500,5484.129883,6627.180176,3221.790039,0,0,0,19911.19922,19911.19922,19911.19922,1,2,0,1,0,0,1,2,0,1,0,0,1,0,0,2,0,1,2,0,1,0,1,1,1,1,1,1,0,3,1,0,1,0,0,0,0
Dublin South Central,Bob Quinn,Bob,Quinn,pd,1377,No,0,0,5,85326,0,0,0,0,NA,NA,NA,NA,NA,major,m,NA,1381,1395,1405,1472,1534,0,0,0,0,0,0,0,0,0,0,DublinSC,10224,10224,NA,NA,NA,38092.14063,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,2,0,0,0,2,0,1,0,0,0,0,0,2,0,0,2,0,1,1,0,1,2,2,1,1,0,3,0,1,1,0,0,1,0
Kerry South,Breeda Moynihan Cronin,Breeda,Moynihan Cronin,lab,5307,Yes,0,1,3,50850,0,0,0,0,4988,35496,0.140522882,4988,0.140522882,no,f,3/1/53,5480,5946,5979,6432,9442,9162,0,0,0,0,0,0,0,0,0,KerryS,4117.439941,19543.64063,3151.379883,NA,NA,25394.75977,NA,0,17000,6011.899902,0,423.5,4842.419922,1478,647,0,2023.380005,15426.2002,15426.2002,15426.2002,2,1,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,1,1,0,1,0,1,1,0,1,0,0,0,3,0,1,1,0,0,0,1
Dublin North West,Brendan Brady,Brendan,Brady,fg,2082,No,0,0,3,47394,0,0,0,0,2901,36699,0.15602605,5726,0.079048477,major,m,NA,2100,2120,2145,2203,0,0,0,0,0,0,0,0,0,0,0,DublinNW,2803.199951,15996.30957,NA,NA,NA,25394.75977,NA,0,21766.75977,302.5,0,3308.050049,7474.339844,1408.219971,0,0,700,13193.11035,13193.11035,13193.11035,2,2,0,1,0,0,0,2,0,1,0,0,0,0,0,1,0,0,2,0,1,0,1,1,1,2,1,1,0,3,0,0,0,1,0,0,0
Clare,Brendan Daly,Brendan,Daly,ff,6717,Yes,0,0,4,78643,0,0,0,0,7420,46889,0.503614902,23614,0.15824607,no,m,NA,6786,6914,7086,7683,0,0,0,0,0,0,0,0,0,0,0,Clare,5015.790039,13120.48047,4020.209961,500,15871.73047,31743.44922,50.00001907,0,15871.71973,313,0,1583.47998,2736,3412.209961,0,0,60,8104.689941,8104.689941,8104.689941,1,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,2,3,1,2,0,3,1,1,0,0,0,0,1
Wexford,Brendan Howlin,Brendan,Howlin,lab,7995,Yes,0,1,5,94969,0,0,0,0,9510,55686,0.170779005,9510,0.170779005,no,m,5/1/56,8073,8201,8924,10135,10135,10135,10135,0,0,0,0,0,0,0,0,Wexford,3793.840088,19713.32031,4943.560059,NA,NA,38092.14063,NA,0,22855.2793,5252.640137,0,957.8800049,3674.899902,6034.060059,0,0,0,15919.48047,15919.48047,15919.48047,1,3,0,1,0,0,0,2,0,1,0,0,0,0,0,1,0,0,2,0,1,0,0,1,2,2,2,2,0,3,1,1,0,0,0,0,0
Waterford,Brendan Kenneally,Brendan,Kenneally,ff,5735,Yes,0,0,4,73511,0,0,0,0,5971,44797,0.357858777,16031,0.133290172,no,m,NA,5780,5920,5969,6165,6425,7117,0,0,0,0,0,0,0,0,0,Waterford,2318.5,20359.46094,4005.600098,NA,15871.71973,31743.44922,49.99998474,0,15871.73047,1617.77002,1184.02002,5496.299805,5187.27002,4555.600098,0,0,0,18040.96094,18040.96094,18040.96094,2,2,0,1,0,0,0,2,0,1,0,0,0,0,0,1,0,0,2,0,1,0,0,1,1,2,1,1,0,3,0,0,0,0,0,0,0
Waterford,Brendan McCann,Brendan,McCann,gp,1361,No,0,0,4,73511,0,0,0,0,809,44797,0.018059244,809,0.018059244,no,m,NA,1533,1646,0,0,0,0,0,0,0,0,0,0,0,0,0,Waterford,0,1590.420044,NA,NA,NA,31743.44922,NA,0,31743.44922,0,84.37000275,0,1470.150024,35.90000153,0,0,0,1590.420044,1590.420044,1590.420044,3,2,0,1,0,0,0,2,0,1,0,0,0,0,0,1,0,0,2,0,1,0,0,1,1,2,1,1,0,3,0,0,0,0,0,0,0
Cork South Central,Brendan Ryan,Brendan,Ryan,lab,3282,No,0,0,5,88737,0,0,0,0,NA,NA,NA,NA,NA,minor,m,NA,3465,3513,3747,3970,0,0,0,0,0,0,0,0,0,0,0,CorkSC,3838.320068,17029.28906,1196.97998,NA,NA,38092.14063,NA,0,22855.2793,6246.02002,823,260,3808.459961,1851.839966,0,0,201.6499939,13190.96973,13190.96973,13190.96973,2,3,0,0,1,0,0,3,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,1,2,3,1,1,1,3,0,1,1,0,1,0,1
Cavan Monaghan,Brendan Smith,Brendan,Smith,ff,10679,Yes,0,1,5,87087,0,0,0,0,8998,59544,0.384371221,22887,0.151115134,no,m,6/1/56,10679,10308,10308,10308,10308,10308,10308,10308,10308,10308,10308,0,0,0,0,CavanM,4548.359863,22383.5293,3286.209961,65.52999878,19046.07031,38092.14063,50,0,19046.07031,5703.870117,75,5872.799805,2107.590088,4075.909912,0,0,0,17835.16992,17835.16992,17835.16992,1,2,0,0,0,1,0,2,0,0,0,1,0,0,0,0,1,0,2,0,0,1,0,2,2,2,2,2,0,3,0,0,0,0,0,0,0
Laois Offaly,Brian Cowen,Brian,Cowen,ff,12529,Yes,0,1,5,94096,0,0,0,1,10865,58070,0.49845016,28945,0.187101766,no,m,1/1/60,10537,10537,10537,10537,10537,0,0,0,0,0,0,0,0,0,0,LaoisO,3562.620117,32942.96094,13393.78027,NA,19046.07031,38092.14063,50,1,19046.07031,2554.550049,148.3999939,6393.910156,2602.709961,5220.810059,0,0,12459.95996,29380.33984,29380.33984,29380.33984,1,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,2,2,3,2,2,0,3,1,0,0,0,0,0,1
Meath,Brian Fitzgerald,Brian,Fitzgerald,ind,3722,No,0,0,5,107894,0,0,0,0,3695,56691,0.065177895,3695,0.065177895,no,m,NA,3751,3807,3920,4105,4464,5139,5258,0,0,0,0,0,0,0,0,Meath,0,21955.13086,NA,NA,NA,38092.14063,NA,0,38092.14063,5066.22998,0,10135.09961,5461.950195,0,1291.849976,0,0,21955.13086,21955.13086,21955.13086,2,3,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,1,3,0,0,0,1,1,2,3,1,1,0,3,0,1,0,1,0,0,0
Dublin South West,Brian Hayes,Brian,Hayes,fg,4654,Yes,0,0,4,67631,0,0,0,0,6487,41852,0.154998571,6487,0.154998571,major,m,NA,4681,4803,4815,4910,5084,0,0,0,0,0,0,0,0,0,0,DublinSW,58.08000183,22077.08984,2673.76001,NA,NA,31743.44922,NA,0,25509.44922,1727.349976,0,4392.799805,13225.09961,2673.76001,0,0,0,22019.00977,22019.00977,22019.00977,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0,1,0,1,1,0,1,1,1,1,1,0,3,0,0,0,0,0,0,0
