DMA,state,region,avg_temp,republican,has_nfl_team,activity,market_share,name
Tallahassee FL-Thomasville GA,GA,South,63.5,48.52,yes,CBB,4,Georgia
Tampa-St. Petersburg (Sarasota) FL,FL,South,70.7,52.1,yes,CBB,3,Florida
Terre Haute IN,IN,North Central,51.7,68.85,yes,CBB,6,Indiana
Toledo OH,OH,North Central,50.7,51.1,yes,CBB,5,Ohio
Topeka KS,KS,North Central,54.3,57.33,no,CBB,9,Kansas
Traverse City-Cadillac MI,MI,North Central,44.4,59.97,yes,CBB,8,Michigan
Tri-Cities TN-VA,VA,South,55.1,76.54,no,CBB,7,Virginia
Tucson (Sierra Vista) AZ,AZ,West,60.3,40.89,yes,CBB,15,Arizona
Tulsa OK,OK,South,59.6,65.59,no,CBB,4,Oklahoma
Twin Falls ID,ID,West,44.4,62.85,no,CBB,4,Idaho
Tyler-Longview(Lufkin & Nacogdoches) TX,TX,South,64.8,72.8,yes,CBB,2,Texas
Utica NY,NY,Northeast,45.4,57.47,yes,CBB,4,New York
Victoria TX,TX,South,64.8,68.36,yes,CBB,2,Texas
Waco-Temple-Bryan TX,TX,South,64.8,61.59,yes,CBB,3,Texas
Washington DC (Hagerstown MD),DC,Northeast,NA,29.9,yes,CBB,4,NA
Watertown NY,NY,Northeast,45.4,55.93,yes,CBB,3,New York
Wausau-Rhinelander WI,WI,North Central,43.1,55.86,yes,CBB,3,Wisconsin
West Palm Beach-Ft. Pierce FL,FL,South,70.7,45.87,yes,CBB,2,Florida
Wheeling WV-Steubenville OH,OH,North Central,50.7,67.75,yes,CBB,4,Ohio
Wichita Falls TX & Lawton OK,OK,South,59.6,73.72,no,CBB,3,Oklahoma
Wichita-Hutchinson KS,KS,North Central,54.3,65.22,no,CBB,9,Kansas
Wilkes Barre-Scranton PA,PA,Northeast,48.8,60.11,yes,CBB,3,Pennsylvania
Wilmington NC,NC,South,59,55.91,yes,CBB,9,North Carolina
Yakima-Pasco-Richland-Kennewick WA,WA,West,48.3,55.26,yes,CBB,4,Washington
Youngstown OH,OH,North Central,50.7,53.17,yes,CBB,3,Ohio
Yuma AZ-El Centro CA,CA,West,59.4,37.48,yes,CBB,2,California
Zanesville OH,OH,North Central,50.7,64.59,yes,CBB,4,Ohio
Abilene-Sweetwater TX,TX,South,64.8,79.13,yes,CFB,11,Texas
Albany GA,GA,South,63.5,59.12,yes,CFB,17,Georgia
Albany-Schenectady-Troy NY,NY,Northeast,45.4,44.11,yes,CFB,4,New York
Albuquerque-Santa Fe NM,NM,West,53.4,39.58,no,CFB,6,New Mexico
Alexandria LA,LA,South,66.4,69.64,yes,CFB,12,Louisiana
Alpena MI,MI,North Central,44.4,63.61,yes,CFB,9,Michigan
Amarillo TX,TX,South,64.8,77.54,yes,CFB,10,Texas
Atlanta GA,GA,South,63.5,47.58,yes,CFB,14,Georgia
Augusta GA,GA,South,63.5,52.77,yes,CFB,13,Georgia
Austin TX,TX,South,64.8,40.01,yes,CFB,11,Texas
Bakersfield CA,CA,West,59.4,53.54,yes,CFB,3,California
