wage,age,education,marital,industry,health,hours,education_level
0,29,12,single,service,excellent,10,HS
0,49,13,single,service,very_good,40,some_college
75000,40,16,married,management,excellent,40,bachelors
22900,49,14,married,service,excellent,24,associate
40000,64,14,married,transportation,good,40,associate
20000,40,12,single,service,good,40,HS
26880,24,16,single,management,excellent,36,bachelors
62000,29,16,single,installation_production,fair,60,bachelors
80000,63,18,married,management,good,50,masters
45000,38,7.5,married,construction,good,40,less_than_HS
32000,31,14,married,service,very_good,40,associate
20000,44,16,married,management,very_good,20,bachelors
33000,49,16,married,service,very_good,50,bachelors
18000,41,18,single,management,very_good,40,masters
26000,54,16,married,management,very_good,40,bachelors
36000,27,16,married,management,very_good,40,bachelors
30000,57,12,married,management,very_good,40,HS
15000,45,16,married,management,very_good,30,bachelors
28000,44,12,married,management,very_good,40,HS
40000,39,18,single,management,good,40,masters
150000,51,16,married,management,excellent,50,bachelors
30000,52,14,married,service,good,35,associate
124000,38,16,married,management,excellent,40,bachelors
65000,59,20,married,management,excellent,40,professional_phd
135000,48,12,married,management,good,50,HS
2700,39,16,married,service,fair,10,bachelors
42000,60,12,married,installation_production,good,40,HS
40000,24,13,single,service,very_good,40,some_college
21000,40,13,single,service,excellent,30,some_college
70000,51,18,married,management,good,40,masters
28000,38,12,married,transportation,good,35,HS
25000,63,14,married,service,good,40,associate
60000,47,16,married,management,good,40,bachelors
49000,28,16,married,management,very_good,40,bachelors
68000,52,13,single,management,good,40,some_college
30000,36,10,married,construction,very_good,40,some_HS
50000,49,16,single,service,very_good,50,bachelors
26000,27,13,married,transportation,good,40,some_college
9360,45,9,married,service,good,16,some_HS
45000,52,12,single,service,good,40,HS
7000,26,14,single,service,excellent,35,associate
10000,41,12,married,service,very_good,40,HS
32000,29,14,single,management,good,30,associate
0,53,14,married,management,excellent,15,associate
53000,58,14,married,service,good,40,associate
8000,21,13,single,management,excellent,10,some_college
21480,36,13,married,management,very_good,40,some_college
45000,48,2.5,married,construction,very_good,40,less_than_HS
18000,27,12,married,service,excellent,40,HS
0,55,16,married,management,very_good,40,bachelors
74000,48,12,married,management,very_good,40,HS
40000,39,18,single,management,excellent,40,masters
50000,55,12,married,management,excellent,40,HS
18500,85,16,married,service,very_good,32,bachelors
32000,50,16,married,service,fair,40,bachelors
40000,25,16,single,service,excellent,40,bachelors
5000,38,12,single,service,excellent,30,HS
27000,34,14,single,management,good,40,associate
