id,name,mobility,state,population,urban,seg_racial,seg_income,seg_poverty,seg_affluenc e,commute,income,gini,share_01,gini_99,middle_class,local_tax_rate,local_gov_spending,progressivity,eitc,school_spending,student_teacher_ratio,test_scores,hs_dropout,colleges,tuition,graduation,labor_force_participation,manufacturing,chinese_imports,teenage_labor,migration_in,migration_out,foreign_born,social_capital,religious,violent_crime,single_mothers,divorced,married,longitude,latitude
35903,Moab,0.11797753,UT,8485,0,0.019,0.001,0.001,0.002,0.752,31770,0.328,4.036,0.288,0.582,0.029,2659,0,0,6.369,18.2,1.621,-0.034,NA,NA,NA,0.69,0.027,0.103,0.007,0.013,0.015,0.028,1.517,0.487,0.001,0.246,0.156,0.506,-109.9014969,38.92660141
35904,Richfield,0.128603101,UT,25012,0,0.015,0.007,0.005,0.008,0.633,28605,0.33,7.302,0.257,0.641,0.021,2087,0,0,4.918,21.1,10.733,-0.011,NA,NA,NA,0.607,0.058,0.16,0.006,0.026,0.033,0.012,-0.791,0.832,0.002,0.12,0.07,0.656,-111.5695038,38.23861694
35905,Loa,0.209677413,UT,2509,0,0,0,0,0,0.628,32242,0.397,NA,NA,NA,0.019,2063,0,0,8.2,15.1,NA,NA,NA,NA,NA,0.638,0.039,0.003,NA,0,0.02,0.017,1.34,0.813,0.001,0.115,0.06,0.685,-110.3235626,38.31745148
36000,Provo,0.137511998,UT,389179,1,0.059,0.095,0.095,0.092,0.454,29115,0.393,19.986,0.193,0.577,0.021,1755,0,0,4.742,22.2,-1.256,-0.018,0.01,2813,0.054,0.677,0.113,0.889,0.005,0.042,0.045,0.062,-0.846,0.895,0.001,0.095,0.05,0.589,-112.0073929,39.74200439
36100,Salt Lake City,0.108327426,UT,1426729,1,0.114,0.101,0.093,0.107,0.294,36988,0.358,12.569,0.232,0.552,0.021,2439,0,0,4.322,22.3,-8.394,0.009,0.009,3838,-0.079,0.71,0.12,0.813,0.005,0.024,0.024,0.084,-0.635,0.699,0.001,0.147,0.092,0.58,-111.5724487,40.61962891
36200,Logan,0.13690953,UT,149590,1,0.053,0.07,0.068,0.07,0.528,28953,0.291,8.962,0.201,0.666,0.015,1732,0,0,4.231,21,6.228,-0.003,0.007,1947,0.11,0.691,0.25,2.105,0.005,0.029,0.034,0.052,-0.004,0.854,0,0.102,0.056,0.604,-111.9947891,41.98722839
36301,Pocatello,0.092508666,ID,269722,1,0.128,0.063,0.054,0.07,0.517,30119,0.327,7.878,0.248,0.625,0.016,1984,0.4,0,4.484,19.7,3.003,-0.003,0.011,1178,0.095,0.66,0.108,0.436,0.006,0.017,0.017,0.043,-0.144,0.718,0.001,0.147,0.087,0.596,-112.3168564,43.61785126
36302,Salmon,0.154929578,ID,12148,0,0.013,0.005,0.001,0.006,0.582,30782,0.323,6.123,0.262,0.615,0.013,1797,0.4,0,4.926,17.7,8.031,0.014,NA,NA,NA,0.586,0.048,0.222,0.006,0.002,0.006,0.018,0.783,0.385,0.001,0.142,0.117,0.625,-114.1753082,44.61720657
36303,Jackson,0.113924049,WY,24250,0,0.027,0.02,0.003,0.035,0.488,53838,0.711,64.788,0.063,0.509,0.038,4620,0,0,5.876,17.6,-31.837,NA,NA,NA,NA,0.78,0.021,0.1,0.007,0.015,0.025,0.068,2.389,0.308,0.002,0.133,0.105,0.521,-110.6054153,43.95529938
36401,Steamboat Springs,0.158904105,CO,38860,0,0.032,0.04,0.025,0.056,0.549,39506,0.348,9.631,0.251,0.563,0.067,4647,0,1.429,5.607,17.6,8.282,NA,0.026,1732,-0.132,0.748,0.022,0.067,0.007,0.017,0.021,0.039,-0.036,0.346,0.002,0.156,0.107,0.568,-107.3094482,40.40969086
