"Route","Latitude","Longitude","Total"
4,45.035653,-93.219616,1
4,45.035661,-93.215843,0
4,45.035676,-93.234375,24
4,45.035701,-93.229085,9
4,45.035714,-93.230676,109
4,45.035727,-93.226802,7
4,45.035733,-93.229379,26
4,45.035745,-93.223536,NA
4,45.035747,-93.220835,1
4,45.035756,-93.218854,24
4,45.035765,-93.215588,4
4,45.035816,-93.213247,10
4,45.035828,-93.213096,0
4,45.035927,-93.228475,1
4,45.036155,-93.228065,1
4,45.036245,-93.227183,2
4,45.036448,-93.227002,28
4,45.037071,-93.213097,1
4,45.037101,-93.213256,10
4,45.037387,-93.226855,0
4,45.038402,-93.227014,29
4,45.038476,-93.226867,0
4,45.038516,-93.224758,0
4,45.038622,-93.224027,16
4,45.038669,-93.212255,NA
4,45.0388,-93.22279,303
4,45.038806,-93.212263,NA
4,45.038836,-93.221219,6
4,45.039483,-93.211101,0
4,45.039541,-93.211214,NA
4,45.0402,-93.210574,0
4,45.040343,-93.210721,1
4,45.040347,-93.22278,84
4,45.040718,-93.219821,3
4,45.040833,-93.22123,21
4,45.041941,-93.209806,0
4,45.042114,-93.20981,5
4,45.042876,-93.198071,2
4,45.042892,-93.202998,0
4,45.0429,-93.207662,0
4,45.042905,-93.200119,0
4,45.042991,-93.199832,4
4,45.042997,-93.20272,5
4,45.043005,-93.20736,6
4,45.043016,-93.198014,25
4,45.045678,-93.197872,0
4,45.045839,-93.198039,3
4,45.048209,-93.198604,NA
4,45.048346,-93.198825,NA
4,45.050921,-93.199504,0
4,45.051184,-93.199524,5
4,45.052654,-93.198326,0
4,45.052668,-93.198167,0
4,45.054927,-93.197977,0
4,45.05502,-93.198125,5
4,45.05614,-93.197989,0
4,45.056156,-93.198136,10
4,45.057275,-93.198012,0
4,45.057478,-93.198164,4
4,45.059525,-93.197935,7
4,45.059657,-93.197889,0
4,45.060971,-93.198261,1
4,45.060975,-93.202129,NA
4,45.060981,-93.203321,5
4,45.061071,-93.199218,0
4,45.06108,-93.201812,NA
4,45.061083,-93.203128,0
4,45.061085,-93.205172,0
4,45.061309,-93.205401,13
4,45.06257,-93.204574,1
4,45.062644,-93.204678,24
4,45.062774,-93.199607,0
4,45.062777,-93.194516,0
4,45.062777,-93.193219,1
4,45.062784,-93.198376,0
4,45.062885,-93.202151,0
4,45.062889,-93.201458,0
4,45.062889,-93.197947,2
4,45.062917,-93.193169,11
4,45.065095,-93.193088,2
4,45.065323,-93.193236,9
4,45.068646,-93.193041,NA
4,45.070411,-93.192505,NA
4,45.071619,-93.192033,0
4,45.071711,-93.191491,2
4,45.074685,-93.188125,31
5,44.854022,-93.239292,1862
5,44.854139,-93.238602,0
5,44.854487,-93.238696,9
5,44.856713,-93.23739,5
5,44.858907,-93.238926,3
5,44.859256,-93.23904,22
5,44.859615,-93.267582,87
5,44.859661,-93.258122,72
5,44.859661,-93.256946,60
5,44.859688,-93.263227,129
5,44.859791,-93.253081,78
5,44.859798,-93.248648,26
5,44.859835,-93.242692,10
5,44.859864,-93.267969,98
5,44.859881,-93.256692,60
5,44.859883,-93.258575,92
5,44.859955,-93.262977,13
5,44.859962,-93.264555,397
5,44.860011,-93.252827,146
5,44.860044,-93.248753,37
5,44.860123,-93.242843,83
5,44.860629,-93.268065,69
5,44.860752,-93.268212,65
5,44.861798,-93.268063,21
5,44.862955,-93.268184,50
5,44.86382,-93.268172,38
5,44.863922,-93.268026,212
5,44.865431,-93.267983,42
5,44.865612,-93.268127,4
5,44.867217,-93.26798,11
5,44.867398,-93.268127,8
5,44.868951,-93.267995,6
5,44.869179,-93.268139,8
5,44.870768,-93.26795,87
5,44.870948,-93.268093,63
5,44.872614,-93.267931,16
5,44.872795,-93.268079,15
5,44.874392,-93.267913,18
5,44.874573,-93.268056,10
5,44.876206,-93.267894,13
5,44.876387,-93.268041,15
5,44.877998,-93.267879,8
5,44.878179,-93.268027,8
5,44.87982,-93.267861,14
5,44.880003,-93.268004,12
5,44.881584,-93.267819,9
5,44.881765,-93.267962,8
5,44.883228,-93.267734,156
5,44.88379,-93.267987,106
5,44.887003,-93.26779,12
5,44.887184,-93.267937,12
5,44.888949,-93.267918,2
5,44.890181,-93.26775,3
5,44.891204,-93.26789,5
5,44.891635,-93.267746,NA
5,44.892423,-93.267738,8
5,44.892603,-93.267885,12
5,44.894211,-93.267873,52
5,44.894214,-93.267715,72
5,44.894253,-93.2655,1
5,44.894256,-93.262979,24
5,44.894358,-93.265156,2
5,44.894398,-93.262922,19
5,44.896023,-93.262748,3
5,44.896204,-93.262887,2
5,44.897823,-93.262706,5
5,44.898004,-93.262845,3
5,44.898871,-93.26283,9
5,44.899667,-93.262672,3
5,44.901269,-93.263053,79
5,44.901393,-93.262784,87
5,44.901481,-93.262637,80
5,44.903322,-93.262596,10
5,44.903489,-93.262735,8
5,44.90507,-93.262549,25
5,44.905363,-93.262694,15
5,44.906919,-93.262558,20
5,44.907141,-93.262706,10
5,44.908972,-93.262567,21
5,44.908974,-93.262714,12
5,44.910571,-93.262702,8
5,44.910593,-93.262555,13
5,44.912355,-93.262563,9
5,44.912585,-93.262707,2
5,44.914215,-93.262568,16
5,44.914377,-93.262715,18
5,44.916194,-93.262534,92
5,44.916196,-93.262697,36
5,44.917815,-93.262542,43
5,44.917996,-93.262689,21
5,44.919503,-93.262522,167
5,44.919799,-93.262667,76
5,44.92138,-93.262504,13
5,44.921621,-93.262648,10
5,44.92324,-93.262485,48
5,44.923421,-93.262633,35
5,44.925045,-93.262463,79
5,44.925226,-93.26261,25
5,44.926851,-93.262436,71
5,44.927032,-93.262584,26
5,44.928656,-93.262417,73
